Nome Teste,Tempo
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,062"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,061"
A1,"0,064"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,061"
A1,"0,064"
A1,"0,061"
A1,"0,061"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,061"
A1,"0,064"
A1,"0,061"
A1,"0,061"
A1,"0,062"
A1,"0,063"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,061"
A1,"0,064"
A1,"0,061"
A1,"0,061"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,061"
A1,"0,064"
A1,"0,061"
A1,"0,061"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,059"
A1,"0,062"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,061"
A1,"0,064"
A1,"0,061"
A1,"0,061"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,059"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,061"
A1,"0,064"
A1,"0,061"
A1,"0,061"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,059"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,061"
A1,"0,064"
A1,"0,061"
A1,"0,061"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,059"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,06"
A1,"0,064"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,061"
A1,"0,064"
A1,"0,061"
A1,"0,061"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,059"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,06"
A1,"0,064"
A1,"0,061"
A1,"0,064"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,061"
A1,"0,064"
A1,"0,061"
A1,"0,061"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,059"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,06"
A1,"0,064"
A1,"0,061"
A1,"0,064"
A1,"0,062"
A1,"0,063"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,061"
A1,"0,064"
A1,"0,061"
A1,"0,061"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,059"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,06"
A1,"0,064"
A1,"0,061"
A1,"0,064"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,065"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,061"
A1,"0,064"
A1,"0,061"
A1,"0,061"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,059"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,06"
A1,"0,064"
A1,"0,061"
A1,"0,064"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,065"
A1,"0,061"
A1,"0,066"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,061"
A1,"0,064"
A1,"0,061"
A1,"0,061"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,059"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,06"
A1,"0,064"
A1,"0,061"
A1,"0,064"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,065"
A1,"0,061"
A1,"0,066"
A1,"0,063"
A1,"0,062"
A1,"0,065"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,065"
A1,"0,06"
A1,"0,063"
A1,"0,066"
A1,"0,064"
A1,"0,065"
A1,"0,064"
A1,"0,069"
A1,"0,067"
A1,"0,068"
A1,"0,066"
A1,"0,07"
A1,"0,063"
A1,"0,065"
A1,"0,067"
A1,"0,065"
A1,"0,068"
A1,"0,072"
A1,"0,069"
A1,"0,066"
A1,"0,063"
A1,"0,065"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,081"
A1,"0,066"
A1,"0,062"
A1,"0,061"
A1,"0,06"
A1,"0,06"
A1,"0,059"
A1,"0,061"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,063"
A1,"0,063"
A1,"0,062"
A1,"0,063"
A1,"0,061"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,061"
A1,"0,064"
A1,"0,061"
A1,"0,061"
A1,"0,062"
A1,"0,063"
A1,"0,064"
A1,"0,064"
A1,"0,059"
A1,"0,062"
A1,"0,061"
A1,"0,063"
A1,"0,063"
A1,"0,064"
A1,"0,06"
A1,"0,064"
A1,"0,061"
A1,"0,064"
A1,"0,062"
A1,"0,063"
